,Tweet Number,News Organization,Tweet,Compound Score,Positive Score,Negative Score,Neutral Score
93,93,@BBC,"RT @BBC6Music: Celebrating the life &amp; work of Aretha Franklin.

Friday, noon: @laurenlaverne will play an hour of your requests

Sat, 6-9pm…",0.7269,0.234,0.0,0.766
94,94,@BBC,RT @BBCTwo: The rumours are true! #UniversityChallenge's @E_Monkman and @Bobby_Seagull are hitting the road in their own @BBCTwo show! 🚙🗺 h…,0.5242,0.145,0.0,0.855
95,95,@BBC,"A ""foul-mouthed"" parrot launched a four-letter tirade at a firefighter as he tried to rescue the bird from a neighb… https://t.co/ZnKQiqwwTQ",0.5859,0.242,0.0,0.758
96,96,@BBC,"RT @BBCOne: Comedy legend @LennyHenry is about to turn 60, so we thought he deserved a special birthday show!

#TheLennyHenryBirthdayShow.…",0.6696,0.244,0.0,0.756
97,97,@BBC,"RT @BBCTheOneShow: A little prayer for you Aretha ❤

Watch The Kingdom Choir's tribute in full: https://t.co/yFH9uvH9Ya https://t.co/OXEj19…",0.0,0.0,0.0,1.0
98,98,@BBC,"Choose life 🙌

📖 Choose Ewan McGregor reading you a @CBeebiesHQ bedtime story tonight.  https://t.co/szLtU7Ed0o",0.0,0.0,0.0,1.0
99,99,@BBC,☺️ New born flamingo chicks learning to stand on one leg is the cutest thing you'll see all day. https://t.co/Jq4QcXRgku,0.5859,0.167,0.0,0.833
100,0,@CBS,"@bigbangtheory 🎶...happy kitty, sleepy kitty, purr purr purr🎶 #TheBigBangTheory https://t.co/sEObppGJlZ",0.0,0.0,0.0,1.0
101,1,@CBS,"This is going to require multiple singings of ""Soft Kitty."" https://t.co/UdRGNeQ7Lb",0.0,0.0,0.0,1.0
102,2,@CBS,Got to get more of the @PaulMcCartney #CarpoolKaraoke into your life? @latelateshow produced an hour-long bonus spe… https://t.co/DjPqajo6Xn,0.5423,0.171,0.0,0.829
103,3,@CBS,"How much does it cost to bury the truth? 
#OneDollar premieres August 30, exclusively on CBS All Access. https://t.co/ZL5TBH9ro5",0.3182,0.113,0.0,0.887
104,4,@CBS,Things got carried away when @ArianaGrande joined @latelateshow for #CarpoolKaraoke. So did Ariana. #ArianaCarpool https://t.co/WSZcC0TaYz,0.0,0.0,0.0,1.0
105,5,@CBS,RT @cbsallaccess: Murder mystery set in a small town? We're in. Rediscover the genius of original #TwinPeaks co-creators @DAVID_LYNCH and @…,-0.5267,0.092,0.188,0.72
